source	original_sha256	original_bytes	committed_path	redacted_sha256	redacted_bytes
ogz-meta/cognition-history/mercury-runs/2026-09-02.jsonl:11	2b46990733358f1067178452add6e2f861fdcb616c87e2da9499c6ab79f64458	339251	tapes/ledger/line-11.jsonl	2b46990733358f1067178452add6e2f861fdcb616c87e2da9499c6ab79f64458	339251
ogz-meta/cognition-history/mercury-runs/2026-09-02.jsonl:12	557959ab4b19b17b3aebd6c543e93b789ee372b2514ba2df12a16666218cc3fa	375368	tapes/ledger/line-12.jsonl	557959ab4b19b17b3aebd6c543e93b789ee372b2514ba2df12a16666218cc3fa	375368
ogz-meta/cognition-history/mercury-runs/2026-09-02.jsonl:13	c605478ff3c07083fd067b8a4066bc062405f2b14d796f998a8cec18a186b987	319951	tapes/ledger/line-13.jsonl	c605478ff3c07083fd067b8a4066bc062405f2b14d796f998a8cec18a186b987	319951
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-15-19-944z-1825814-5c1f56192644/fable_challenger-1.raw	bbba504c990f75af6e2c624987a0f1533ca116665c5fc3b9991da87f8f88b7b7	46166	tapes/run-11/fable_challenger-1.raw	beb5e19b472b8cef2ea046b1987b0f4c1bfe95d001b0136dbd8db1704d8bac0a	27031
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-15-19-944z-1825814-5c1f56192644/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/run-11/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-23-35-668z-1828923-c1902dd40ae8/fable_challenger-1.raw	a782f5e9cd1f3213cb840013b1c8079b5cec8737a6b92900d963df5d27af8e04	58568	tapes/run-12/fable_challenger-1.raw	dd320c8ad3584eda957d9ff4baeebf9bd094d44cfcd3a348d524bd601870df74	30217
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-23-35-668z-1828923-c1902dd40ae8/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/run-12/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-29-43-948z-1829678-d2b9bc971ef8/fable_challenger-1.raw	ef6b40dc6c4035292a7d5cfb471ee6817dac0b9d7a244178e56e588b075af8c3	52279	tapes/run-13/fable_challenger-1.raw	29c2991ea429bc2ce47eb91d2d040e56da8f73379439300678b63bda969b15f2	27072
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-29-43-948z-1829678-d2b9bc971ef8/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/run-13/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t05-29-43-948z-1829678-d2b9bc971ef8/kimi_tie_breaker-1.raw	5eac9700ef4310b59fbc4818b8f584ce59f9013c77659dc731ed182909e810d3	1009	tapes/run-13/kimi_tie_breaker-1.raw	173354ae8ae58b518ec922afb33b071b7c7edf9bd22215939426700d042e6628	986
trusted-host:tapes/host/evil-merge.txt	c1fb51e7d0b468214389577e3ddb33e883963d63090950141f2bb7180ddd4872	479	tapes/host/evil-merge.txt	c1fb51e7d0b468214389577e3ddb33e883963d63090950141f2bb7180ddd4872	479
trusted-host:tapes/host/forced-buzz.txt	ab1af372eedb708eb6f47f4d6441c98eef3638a39d4c59c53e8756b1e28ec2da	2182	tapes/host/forced-buzz.txt	ab1af372eedb708eb6f47f4d6441c98eef3638a39d4c59c53e8756b1e28ec2da	2182
trusted-host:tapes/host/red-green.txt	c590547d874613bb04db5a67016bf78dffb46b18c83b74520ce6a0748153d357	711	tapes/host/red-green.txt	c590547d874613bb04db5a67016bf78dffb46b18c83b74520ce6a0748153d357	711
trusted-host:tapes/host/zero-base.txt	38954d56ad2137c58b3b637eeb8859ff5d93ef2cd0306ecfeee11619b300959f	560	tapes/host/zero-base.txt	38954d56ad2137c58b3b637eeb8859ff5d93ef2cd0306ecfeee11619b300959f	560
