strategy,timeframe,lockedStopLoss,tierLabel,tier1Target,tier2Target,tier3Target,confidence,netPnl,trades,winRate,maxDrawdown,profitFactor,expectancy,avgWin,avgLoss,fees,elapsed
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.7,-1082.04,582,49.66,10.92,0.27,-1.86,1.36,-5.03,873.00,1270.2
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.7,-1082.04,582,49.66,10.92,0.27,-1.86,1.36,-5.03,873.00,1327.3
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.7,-1082.04,582,49.66,10.92,0.27,-1.86,1.36,-5.03,873.00,1318.6
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.7,-1210.14,694,28.24,12.11,0.15,-1.74,1.08,-2.86,1041.00,1333.6
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.7,-1210.14,694,28.24,12.11,0.15,-1.74,1.08,-2.86,1041.00,1338.4
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.7,-1210.14,694,28.24,12.11,0.15,-1.74,1.08,-2.86,1041.00,1378.8
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.7,-1236.75,646,28.79,12.38,0.18,-1.91,1.44,-3.27,969.00,1313.1
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.7,-1236.75,646,28.79,12.38,0.18,-1.91,1.44,-3.27,969.00,1334.9
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.7,-1236.75,646,28.79,12.38,0.18,-1.91,1.44,-3.27,969.00,1328.4
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.7,-1989.71,913,52.35,19.90,0.24,-2.18,1.29,-5.99,1369.50,1358.0
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.7,-1989.71,913,52.35,19.90,0.24,-2.18,1.29,-5.99,1369.50,1402.2
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.7,-1989.71,913,52.35,19.90,0.24,-2.18,1.29,-5.99,1369.50,1358.3
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.7,-2079.27,1057,32.17,20.80,0.22,-1.97,1.70,-3.70,1585.50,1393.7
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.7,-2079.27,1057,32.17,20.80,0.22,-1.97,1.70,-3.70,1585.50,1404.9
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.7,-2079.27,1057,32.17,20.80,0.22,-1.97,1.70,-3.70,1585.50,1395.4
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.7,-2309.33,1154,27.90,23.09,0.12,-2.00,1.00,-3.16,1731.00,1410.5
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.7,-2309.33,1154,27.90,23.09,0.12,-2.00,1.00,-3.16,1731.00,1424.9
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.7,-2309.33,1154,27.90,23.09,0.12,-2.00,1.00,-3.16,1731.00,1472.8
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.55,-2582.79,1562,15.94,25.83,0.12,-1.65,1.45,-2.24,2343.00,1483.0
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.55,-2582.79,1562,15.94,25.83,0.12,-1.65,1.45,-2.24,2343.00,1551.7
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.55,-2582.79,1562,15.94,25.83,0.12,-1.65,1.45,-2.24,2343.00,1492.0
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.55,-2931.14,1797,10.57,29.31,0.10,-1.63,1.62,-2.02,2695.50,1512.4
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.55,-2931.14,1797,10.57,29.31,0.10,-1.63,1.62,-2.02,2695.50,1528.3
